,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
382,Capiibary,0,PY,1570602734,80,-24.8,-56.03,64.71,5.48
383,Tripoli,20,GR,1570602734,68,37.51,22.37,64.24,5.82
384,Trat,40,TH,1570602734,70,12.25,102.51,88.03,3.36
385,Srednekolymsk,77,RU,1570602735,87,67.46,153.71,13.23,5.5
386,Beoumi,75,CI,1570602735,100,7.67,-5.58,69.8,4.7
387,Cayenne,33,GF,1570602735,94,4.94,-52.33,73.4,4.81
388,Santo,100,EC,1570602736,85,-0.59,-80.0,70.4,3.53
389,Nouakchott,100,MR,1570602736,83,18.08,-15.98,78.8,3.36
390,Scottsbluff,1,US,1570602736,42,41.87,-103.67,50.16,5.82
391,Klaksvik,83,FO,1570602736,93,62.23,-6.59,50.0,14.99
392,Murray,1,US,1570602731,36,40.67,-111.89,57.36,14.99
393,Libenge,100,CD,1570602737,97,3.65,18.64,71.57,2.28
394,Okhotsk,100,RU,1570602158,98,59.36,143.24,35.8,8.79
395,Harper,1,US,1570602737,52,30.3,-99.24,66.87,3.36
396,Eyl,2,SO,1570602177,80,7.98,49.82,80.58,10.26
397,Vestmanna,81,FO,1570602738,93,62.16,-7.17,50.0,14.99
398,Casa,84,NI,1570602738,98,13.34,-85.37,68.09,1.03
399,Roebourne,0,AU,1570602579,7,-20.77,117.15,107.41,22.68
400,Soe,96,EE,1570602739,93,57.91,26.05,38.21,3.36
401,Nizhnevartovsk,0,RU,1570602739,70,60.93,76.58,42.8,11.18
402,Ambon,83,FR,1570602163,87,47.55,-2.56,53.69,4.7
403,Sishui,99,CN,1570602740,30,35.66,117.27,73.99,5.26
404,Pinawa,94,CA,1570602740,92,50.15,-95.88,50.31,3.67
405,Oktyabrskiy,75,RU,1570602740,86,55.61,37.97,38.1,8.95
406,Lang,40,LA,1570602741,55,20.63,101.85,89.6,6.93
407,Wanning,75,AT,1570602741,93,48.64,13.53,53.65,3.36
408,Port,82,CD,1570602161,57,-7.04,29.76,78.15,10.14
409,Venado,100,MX,1570602742,86,22.93,-101.09,57.62,12.77
410,Hambantota,75,LK,1570602743,84,6.12,81.12,86.0,6.93
411,Buraydah,0,SA,1570602743,43,26.33,43.97,87.8,9.17
412,Mosetse,0,BW,1570602744,25,-20.64,26.64,80.91,5.86
413,Mehriz,20,IR,1570602744,13,31.58,54.44,80.6,4.7
414,Jos,98,NG,1570602745,94,9.92,8.9,68.06,2.77
415,Balkhash,0,KZ,1570602745,22,46.84,74.98,69.8,2.24
416,Lorengau,92,PG,1570602746,71,-2.02,147.27,84.49,6.6
417,Sauda,75,NO,1570602746,93,59.65,6.35,44.24,12.75
418,Morros,40,BR,1570602747,78,-2.87,-44.04,78.8,13.87
419,Saint-Pierre,75,FR,1570602747,93,48.95,4.24,52.72,13.87
420,Kruisfontein,81,ZA,1570602747,81,-34.0,24.73,56.92,18.72
421,Buarcos,0,PT,1570602748,77,40.16,-8.88,58.32,11.41
422,Zaidpur,20,IN,1570602748,66,26.83,81.33,87.8,3.36
423,Chalus,20,IR,1570602749,69,36.66,51.42,75.2,4.7
424,Tessalit,32,ML,1570602749,16,20.2,1.01,79.79,5.59
425,Mapiri,30,BO,1570602750,83,-15.31,-68.22,46.96,3.87
426,College,90,US,1570602750,93,64.86,-147.8,34.05,4.7
427,Real,75,PH,1570602750,59,14.67,121.6,89.55,8.05
428,Muravlenko,100,RU,1570602751,80,63.79,74.5,40.93,18.41
429,Zaysan,32,KZ,1570602175,18,47.47,84.87,68.63,7.65
430,Filadelfia,0,PY,1570602751,61,-22.35,-60.04,72.14,6.95
431,Anahuac,0,MX,1570602751,91,26.44,-109.02,78.48,1.99
432,Visnes,75,NO,1570602752,93,59.36,5.22,49.57,11.41
433,Norton,20,US,1570602752,82,41.97,-71.19,52.92,3.36
434,Yaan,76,NG,1570602752,96,7.38,8.57,71.68,3.8
435,Forbes,0,AU,1570602753,23,-33.38,148.01,69.01,1.01
436,Pevek,100,RU,1570602753,84,69.7,170.27,29.25,9.8
437,Matara,98,BI,1570602167,75,-3.48,29.48,57.44,7.92
438,Toda,20,JP,1570602754,27,35.81,139.68,77.18,9.17
439,Krasnogvardeyets,100,RU,1570602754,56,46.16,39.17,47.5,4.81
440,Muleba,93,TZ,1570602755,56,-1.84,31.66,75.56,4.34
441,Najran,75,SA,1570602755,38,17.54,44.22,77.0,6.93
442,Saskylakh,75,RU,1570602755,96,71.97,114.09,18.49,8.08
443,Jacareacanga,96,BR,1570602755,98,-6.22,-57.76,71.82,1.67
444,Bonthe,77,SL,1570602756,90,7.53,-12.5,75.74,5.55
445,Chimbote,16,PE,1570602756,93,-9.08,-78.59,58.93,7.99
446,Chateaubelair,40,VC,1570602756,74,13.28,-61.25,81.84,20.8
447,Creel,0,MX,1570602757,91,27.75,-107.63,53.31,0.91
448,Shingu,0,JP,1570602758,46,33.72,135.99,73.4,11.41
449,Keflavik,0,IS,1570602758,87,64.0,-22.56,44.47,11.41
450,Norsup,64,VU,1570602758,100,-16.07,167.38,79.7,11.41
451,Nome,1,US,1570602758,93,30.04,-94.42,65.93,3.8
452,Vila,90,IT,1570602759,87,45.18,8.4,56.7,4.7
453,Skjervoy,75,NO,1570602759,63,70.03,20.97,34.02,3.36
454,Madimba,40,CM,1570602759,100,4.42,9.93,75.2,2.24
455,Masallatah,28,LY,1570602760,65,32.62,14.0,65.43,4.68
456,Nyurba,100,RU,1570602760,88,63.29,118.35,25.05,8.09
457,Brodnica,100,PL,1570602760,88,53.26,19.4,51.48,11.46
458,Kopervik,75,NO,1570602761,93,59.28,5.31,49.91,11.41
459,Skelleftea,0,SE,1570602761,100,64.75,20.95,30.31,5.82
460,Dwarka,0,IN,1570602761,40,28.58,77.04,86.22,5.82
461,Salinas,1,US,1570602762,87,36.67,-121.66,57.02,9.17
462,Pacific,90,US,1570602762,100,47.26,-122.25,41.34,3.13
463,Caravelas,27,BR,1570602176,87,-17.73,-39.27,72.86,5.91
464,Port,98,CD,1570602763,44,-7.04,29.76,74.29,11.7
465,Vanavara,100,RU,1570602763,54,60.35,102.28,25.66,12.78
466,Bitam,100,GA,1570602763,98,2.08,11.49,68.02,2.84
467,Santiago,95,PH,1570602674,79,16.69,121.54,81.92,3.2
468,Pemba,20,MZ,1570602765,78,-12.97,40.52,82.4,6.93
469,San,28,ML,1570602602,70,13.3,-4.9,77.49,10.11
470,Hushitai,83,CN,1570602765,40,41.93,123.51,71.6,22.37
471,Charters,1,US,1570602766,100,38.57,-83.43,53.64,3.36
472,Dubovskoye,100,RU,1570602766,54,47.41,42.76,46.27,6.53
473,Waipawa,100,NZ,1570602766,73,-39.94,176.59,59.0,8.01
474,Fare,99,PF,1570602767,86,-16.7,-151.02,74.77,23.58
475,Cumbum,20,IN,1570602767,65,15.58,79.11,84.65,5.16
476,Forio,0,IT,1570602767,63,40.73,13.86,62.53,3.36
477,Savelugu,70,GH,1570602768,97,9.63,-0.83,70.29,5.89
478,Vardo,90,US,1570602768,76,39.62,-77.74,53.71,4.12
479,Bhitarwar,5,IN,1570602768,52,25.8,78.11,87.8,1.12
480,Ilulissat,22,GL,1570602768,50,69.22,-51.1,28.4,4.7
481,Huarmey,58,PE,1570602769,91,-10.07,-78.15,59.36,10.42
482,San,28,ML,1570602705,70,13.3,-4.9,77.49,10.11
483,Kidal,0,ML,1570602769,45,18.44,1.41,84.6,8.72
484,Zharkovskiy,98,RU,1570602770,95,55.85,32.27,38.12,8.12
485,Iberia,69,PE,1570602770,73,-11.41,-69.49,71.17,1.5
486,Krasnoborsk,99,RU,1570602770,83,61.56,45.93,34.86,11.38
487,Naryan-Mar,65,RU,1570602771,78,67.67,53.09,33.66,19.62
488,Tugulym,0,RU,1570602771,54,57.06,64.64,59.58,6.71
489,Myitkyina,63,MM,1570602772,51,25.38,97.4,86.44,2.42
490,Saint-Leu,62,RE,1570602772,51,-21.15,55.28,72.18,13.87
491,Petropavlovsk-Kamchatskiy,75,RU,1570602772,81,53.05,158.65,44.6,17.9
492,Havre,90,US,1570602772,86,48.55,-109.68,25.83,11.41
493,Bismarck,1,US,1570602773,87,46.81,-100.78,51.66,9.17
494,Pyapon,65,MM,1570602773,61,16.29,95.68,88.52,3.56
495,Banda,0,IN,1570602773,52,28.24,80.11,85.75,3.71
496,Santo,100,EC,1570602774,85,-0.59,-80.0,70.4,3.53
497,Poum,75,MK,1570602774,87,41.28,20.71,53.6,3.36
498,Bubaque,100,GW,1570602774,74,11.28,-15.83,79.77,2.0
499,Aksarka,100,RU,1570602775,94,66.56,67.8,36.75,7.82
500,Ufa,90,RU,1570602775,93,54.73,55.95,39.2,4.47
501,Pangnirtung,100,CA,1570602775,81,66.15,-65.72,33.53,2.39
502,Auki,100,NG,1570602776,91,12.18,6.51,72.61,4.05
503,Urrao,100,CO,1570602776,99,6.32,-76.13,53.01,1.28
504,Barranca,14,PE,1570602776,89,-10.75,-77.76,59.38,9.51
505,Havre-Saint-Pierre,20,CA,1570602777,80,50.23,-63.6,39.2,10.29
506,Lima,90,PE,1570602748,93,-12.06,-77.04,59.0,6.93
507,Anadyr,40,RU,1570602778,86,64.73,177.51,33.37,8.95
508,Marathon,66,CA,1570602778,78,48.72,-86.38,53.48,14.05
509,Belawan,48,ID,1570602778,80,-0.59,114.46,82.94,2.55
510,Burnie,95,AU,1570602779,57,-41.05,145.91,60.06,8.99
511,Oyama,0,JP,1570602779,7,36.31,139.8,78.85,4.79
512,Plettenberg,20,DE,1570602779,81,51.21,7.87,51.51,13.87
513,Omsukchan,99,RU,1570602779,75,62.53,155.8,11.92,3.56
514,Ingham,22,AU,1570602780,35,-18.65,146.16,88.51,5.3
515,Nichinan,40,JP,1570602780,44,31.65,131.31,75.13,10.29
516,Oranjemund,78,ZA,1570602781,90,-28.55,16.43,59.06,26.73
517,Flinders,0,AU,1570602781,51,-34.58,150.85,61.83,17.22
518,Northam,0,AU,1570602781,20,-31.65,116.67,86.0,9.17
519,Miri,24,NG,1570602782,93,10.31,9.75,71.15,1.53
520,Busko-Zdroj,100,PL,1570602782,99,50.47,20.72,49.86,1.01
521,Port,98,CD,1570602782,44,-7.04,29.76,74.29,11.7
522,Prattville,1,US,1570602783,77,32.46,-86.46,67.19,3.36
523,Selikhino,10,RU,1570602783,51,50.37,137.51,54.31,6.22
524,Howard,1,US,1570602783,82,44.01,-97.53,55.2,14.99
525,Kamenka,19,MD,1570602784,77,48.03,28.7,44.01,3.0
526,Poyarkovo,89,RU,1570602784,47,49.62,128.65,60.1,17.38
527,Mae,43,ID,1570602784,71,0.99,120.84,79.86,5.2
528,Half,75,LR,1570602785,94,6.38,-10.7,75.2,1.19
529,San,28,ML,1570602785,70,13.3,-4.9,77.49,10.12
530,Kudymkar,100,RU,1570602785,96,59.01,54.66,34.74,2.77
531,Valmiera,97,LV,1570602786,96,57.54,25.42,40.51,4.14
532,Kunyang,98,CN,1570602786,83,27.66,120.56,70.76,5.26
533,Kyabe,100,TD,1570602786,94,9.45,18.94,72.59,4.5
534,Nalut,9,LY,1570602787,84,31.86,10.98,63.54,10.16
